ARCID,ATYP,ADEP,ADES,RM,ARF,ETD,TT,ETA,recat,size_seats_avg,minutes_eta,minutes_etd,minutes_tt,is_ecac,airline,distancia_km,is_departed,is_inside_radius,is_gpd_candidate,flight_status,assigned_slot,total_delay,air_delay,ground_delay
RYR8QT,B738,LEPA,LEBL,9HQEW,180,21:14:00,16,21:50:00,D,184.0,1310.0,1274.0,16.0,True,RYR,196.92933333333335,False,True,True,GPD CANDIDATE,1310.4545,0.45450000000005275,0.0,0.45450000000005275
EJU89ZC,A319,LFSB,LEBL,OELQA,330,20:41:00,15,21:50:00,D,144.0,1310.0,1241.0,15.0,True,EJU,658.6946666666668,False,True,True,GPD CANDIDATE,1311.8182,1.8181999999999334,0.0,1.8181999999999334
VLG25JN,A320,LFPG,LEBL,ECMBS,370,20:37:00,12,21:50:00,D,173.0,1310.0,1237.0,12.0,True,VLG,753.764,False,True,True,GPD CANDIDATE,1313.1818,3.1818000000000666,0.0,3.1818000000000666
VLG34LT,A320,LEGR,LEBL,ECMXP,360,20:55:00,5,21:55:00,D,173.0,1315.0,1255.0,5.0,True,VLG,672.2760000000001,False,True,True,GPD CANDIDATE,1315.9091,0.9091000000000804,0.0,0.9091000000000804
VLG6028,A20N,LIRQ,LEBL,ECNCS,360,20:26:00,5,21:55:00,D,180.0,1315.0,1226.0,5.0,True,VLG,1066.1346666666666,False,True,True,GPD CANDIDATE,1317.2727,2.272699999999986,0.0,2.272699999999986
VLG4QP,A320,LPPT,LEBL,ECKDG,380,20:41:00,15,21:55:00,D,173.0,1315.0,1241.0,15.0,True,VLG,726.6013333333334,False,True,True,GPD CANDIDATE,1318.6364,3.6364000000000942,0.0,3.6364000000000942
VLG60YC,A321,EBBR,LEBL,ECMMH,350,20:18:00,22,22:00:00,D,207.0,1320.0,1218.0,22.0,True,VLG,1011.8093333333335,False,True,True,GPD CANDIDATE,1320.0,0.0,0.0,0.0
SWR3QA,A320,LSZH,LEBL,HBIJO,330,20:45:00,13,22:00:00,D,173.0,1320.0,1245.0,13.0,True,SWR,767.3453333333333,False,True,True,GPD CANDIDATE,1321.3636,1.3635999999999058,0.0,1.3635999999999058
VLG91VV,A320,LEVX,LEBL,ECLAB,320,20:47:00,7,22:00:00,D,173.0,1320.0,1247.0,7.0,True,VLG,821.6706666666666,False,True,True,GPD CANDIDATE,1322.7273,2.727300000000014,0.0,2.727300000000014
VLG61FK,A320,EGLL,LEBL,ECOKI,370,20:21:00,20,22:05:00,D,173.0,1325.0,1221.0,20.0,True,VLG,1066.1346666666666,False,True,True,GPD CANDIDATE,1325.4545,0.45450000000005275,0.0,0.45450000000005275
VLG4JJ,A320,EDDB,LEBL,ECMAO,370,20:04:00,8,22:05:00,D,173.0,1325.0,1204.0,8.0,True,VLG,1459.9933333333336,False,True,True,GPD CANDIDATE,1326.8182,1.8181999999999334,0.0,1.8181999999999334
EJU7214,A319,LPPT,LEBL,OELVG,380,20:45:00,17,22:10:00,D,144.0,1330.0,1245.0,17.0,True,EJU,848.8333333333335,False,True,True,GPD CANDIDATE,1330.9091,0.9091000000000804,0.0,0.9091000000000804
VLG52YE,A321,LIPZ,LEBL,ECMLM,350,20:47:00,11,22:10:00,D,207.0,1330.0,1247.0,11.0,True,VLG,903.1586666666667,False,True,True,GPD CANDIDATE,1332.2727,2.272699999999986,0.0,2.272699999999986
VLG876B,A320,EDDH,LEBL,ECMAH,370,20:10:00,9,22:10:00,D,173.0,1330.0,1210.0,9.0,True,VLG,1432.8306666666667,False,True,True,GPD CANDIDATE,1333.6364,3.6364000000000942,0.0,3.6364000000000942
VLG67CB,A320,LEAS,LEBL,ECJTQ,320,21:08:00,5,22:15:00,D,173.0,1335.0,1268.0,5.0,True,VLG,767.3453333333333,False,True,True,GPD CANDIDATE,1335.0,0.0,0.0,0.0
RYR65DP,B738,LIPE,LEBL,EIDCW,370,20:50:00,15,22:15:00,D,184.0,1335.0,1250.0,15.0,True,RYR,875.9960000000001,False,True,True,GPD CANDIDATE,1336.3636,1.3635999999999058,0.0,1.3635999999999058
VLG13LA,A321,GCLP,LEBL,ECMHB,340,19:37:00,14,22:15:00,D,207.0,1335.0,1177.0,14.0,True,VLG,1881.0146666666667,False,True,True,GPD CANDIDATE,1337.7273,2.727300000000014,0.0,2.727300000000014
VLG796R,A320,LEPA,LEBL,ECNUP,180,21:44:00,17,22:20:00,D,173.0,1340.0,1304.0,17.0,True,VLG,183.348,False,True,True,GPD CANDIDATE,1340.4545,0.45450000000005275,0.0,0.45450000000005275
VLG14RT,A321,LEPA,LEBL,ECMQB,180,21:47:00,17,22:20:00,D,207.0,1340.0,1307.0,17.0,True,VLG,142.604,False,True,True,GPD CANDIDATE,1341.8182,1.8181999999999334,0.0,1.8181999999999334
VLG159U,A321,EKCH,LEBL,ECMJR,350,19:53:00,10,22:20:00,D,207.0,1340.0,1193.0,10.0,True,VLG,1785.9453333333336,False,True,True,GPD CANDIDATE,1343.1818,3.1818000000000666,0.0,3.1818000000000666
VLG5SC,A320,LEZL,LEBL,ECMER,340,20:59:00,12,22:25:00,D,173.0,1345.0,1259.0,12.0,True,VLG,930.3213333333333,False,True,True,GPD CANDIDATE,1345.9091,0.9091000000000804,0.0,0.9091000000000804
VLG9MZ,A320,LFML,LEBL,ECMVE,290,21:32:00,5,22:25:00,D,173.0,1345.0,1292.0,5.0,True,VLG,577.2066666666667,False,True,True,GPD CANDIDATE,1347.2727,2.272699999999986,0.0,2.272699999999986
VLG669A,A321,LIRN,LEBL,ECMGY,340,20:58:00,12,22:25:00,D,207.0,1345.0,1258.0,12.0,True,VLG,943.9026666666667,False,True,True,GPD CANDIDATE,1348.6364,3.6364000000000942,0.0,3.6364000000000942
VLG1SG,A320,GCXO,LEBL,ECMEL,380,19:43:00,4,22:30:00,D,173.0,1350.0,1183.0,4.0,True,VLG,2139.06,False,True,True,GPD CANDIDATE,1350.0,0.0,0.0,0.0
VLG79EM,A321,LPPR,LEBL,ECMLD,340,21:12:00,12,22:30:00,D,207.0,1350.0,1272.0,12.0,True,VLG,821.6706666666666,False,True,True,GPD CANDIDATE,1351.3636,1.3635999999999058,0.0,1.3635999999999058
VLG5ET,A320,LEMH,LEBL,ECMLE,180,21:54:00,10,22:30:00,D,173.0,1350.0,1314.0,10.0,True,VLG,278.4173333333334,False,True,True,GPD CANDIDATE,1352.7273,2.727300000000014,0.0,2.727300000000014
VLG738J,A321,EGKK,LEBL,ECNLY,350,21:03:00,12,22:35:00,D,207.0,1355.0,1263.0,12.0,True,VLG,1011.8093333333335,False,True,True,GPD CANDIDATE,1355.4545,0.45450000000005275,0.0,0.45450000000005275
RYR73TJ,B738,EGSS,LEBL,EIEMA,370,20:44:00,10,22:35:00,D,184.0,1355.0,1244.0,10.0,True,RYR,1297.0173333333332,False,True,True,GPD CANDIDATE,1356.8182,1.8181999999999334,0.0,1.8181999999999334
VLG7NB,A320,LEIB,LEBL,ECOGE,160,21:51:00,10,22:35:00,D,173.0,1355.0,1311.0,10.0,True,VLG,387.06800000000004,False,True,True,GPD CANDIDATE,1358.1818,3.1818000000000666,0.0,3.1818000000000666
VLG3XA,A321,LPPT,LEBL,ECMMU,340,21:21:00,6,22:40:00,D,207.0,1360.0,1281.0,6.0,True,VLG,916.74,False,True,True,GPD CANDIDATE,1360.9091,0.9091000000000804,0.0,0.9091000000000804
VLG41XC,A320,LEST,LEBL,ECMYB,320,21:30:00,15,22:45:00,D,173.0,1365.0,1290.0,15.0,True,VLG,740.1826666666667,False,True,True,GPD CANDIDATE,1365.0,0.0,0.0,0.0
VLG46DQ,A320,LICJ,LEBL,ECODM,380,21:22:00,12,22:45:00,D,173.0,1365.0,1282.0,12.0,True,VLG,889.5773333333333,False,True,True,GPD CANDIDATE,1366.3636,1.3635999999999058,0.0,1.3635999999999058
VLG3WB,A319,LFMN,LEBL,ECMIQ,300,21:58:00,12,22:45:00,D,144.0,1365.0,1318.0,12.0,True,VLG,400.64933333333335,False,True,True,GPD CANDIDATE,1367.7273,2.727300000000014,0.0,2.727300000000014
VLG11HU,A321,LEMG,LEBL,ECMOO,320,21:36:00,11,22:50:00,D,207.0,1370.0,1296.0,11.0,True,VLG,780.9266666666667,False,True,True,GPD CANDIDATE,1370.4545,0.45450000000005275,0.0,0.45450000000005275
VLG4WK,A320,LIEE,LEBL,ECKDH,340,21:51:00,8,22:50:00,D,173.0,1370.0,1311.0,8.0,True,VLG,617.9506666666666,False,True,True,GPD CANDIDATE,1371.8182,1.8181999999999334,0.0,1.8181999999999334
RYR31DG,B38M,LHBP,LEBL,EIIJM,370,20:42:00,12,22:55:00,D,189.0,1375.0,1242.0,12.0,True,RYR,1568.644,False,True,True,GPD CANDIDATE,1375.9091,0.9091000000000804,0.0,0.9091000000000804
VLG3AC,A320,LECO,LEBL,ECOFX,320,21:46:00,6,22:55:00,D,173.0,1375.0,1306.0,6.0,True,VLG,780.9266666666667,False,True,True,GPD CANDIDATE,1377.2727,2.272699999999986,0.0,2.272699999999986
RYR71AV,B738,LIME,LEBL,EIENF,350,21:55:00,7,23:00:00,D,184.0,1380.0,1315.0,7.0,True,RYR,713.02,False,True,True,GPD CANDIDATE,1380.0,0.0,0.0,0.0
NSZ5521,B738,ENGM,LEBL,SERRF,410,20:17:00,15,23:00:00,D,184.0,1380.0,1217.0,15.0,True,NSZ,1935.3400000000001,False,True,True,GPD CANDIDATE,1381.3636,1.3635999999999058,0.0,1.3635999999999058
RYR1397,B738,LIPQ,LEBL,9HQDA,370,21:37:00,10,23:05:00,D,184.0,1385.0,1297.0,10.0,True,RYR,984.6466666666666,False,True,True,GPD CANDIDATE,1385.4545,0.45450000000005275,0.0,0.45450000000005275
RYR67KU,B738,LEZL,LEBL,EIEBF,380,22:08:00,12,23:15:00,D,184.0,1395.0,1328.0,12.0,True,RYR,672.2760000000001,False,True,True,GPD CANDIDATE,1395.0,0.0,0.0,0.0
RYR404A,B738,LPPR,LEBL,EIDCN,320,21:40:00,15,23:20:00,D,184.0,1400.0,1300.0,15.0,True,RYR,1079.7160000000001,False,True,True,GPD CANDIDATE,1400.4545,0.45450000000005275,0.0,0.45450000000005275
RYR56YL,B738,EIDW,LEBL,9HQEK,370,21:20:00,20,23:20:00,D,184.0,1400.0,1280.0,20.0,True,RYR,1283.4360000000001,False,True,True,GPD CANDIDATE,1401.8182,1.8181999999999334,0.0,1.8181999999999334
AEE712,A20N,LGAV,LEBL,SXNEQ,380,20:53:00,14,23:25:00,D,180.0,1405.0,1253.0,14.0,True,AEE,1799.5266666666669,False,True,True,GPD CANDIDATE,1405.9091,0.9091000000000804,0.0,0.9091000000000804
TAP1040,A320,LPPT,LEBL,CSTNX,380,21:52:00,16,23:25:00,D,173.0,1405.0,1312.0,16.0,True,TAP,971.0653333333335,False,True,True,GPD CANDIDATE,1407.2727,2.272699999999986,0.0,2.272699999999986
